name
Afghanistan
Angola
Albania
United Arab Emirates
Argentina
Armenia
Australia
Austria
Azerbaijan
Burundi
Belgium
Benin
Burkina Faso
Bangladesh
Bulgaria
Bahrain
Bosnia and Herzegovina
Belarus
Bolivia (Plurinational State of)
Brazil
Barbados
Botswana
Central African Republic
Canada
Switzerland
Chile
China
Côte d'Ivoire
Cameroon
D.R. of the Congo
Congo
Colombia
Comoros
Cabo Verde
Costa Rica
Czechoslovakia
Cuba
Cyprus
Czech Republic
Germany
Djibouti
Dominica
Denmark
Dominican Republic
Algeria
Ecuador
Egypt
Spain
Estonia
Ethiopia
Finland
France
Gabon
United Kingdom
Georgia
Ghana
Guinea
Gambia
Guinea-Bissau
Equatorial Guinea
Greece
Guatemala
"China, Hong Kong SAR"
Honduras
Croatia
Haiti
Hungary
Indonesia
India
Ireland
Iran (Islamic Republic of)
Iraq
Iceland
Israel
Italy
Jamaica
Jordan
Japan
Kazakhstan
Kenya
Kyrgyzstan
Cambodia
Republic of Korea
Kuwait
Lao People's DR
Lebanon
Liberia
Libya
Saint Lucia
Sri Lanka
Lesotho
Lithuania
Luxembourg
Latvia
Morocco
Republic of Moldova
Madagascar
Mexico
TFYR of Macedonia
Mali
Malta
Myanmar
Montenegro
Mongolia
Mozambique
Mauritania
Mauritius
Malawi
Malaysia
Namibia
Niger
Nigeria
Nicaragua
Netherlands
Norway
Nepal
New Zealand
Oman
Pakistan
Panama
Peru
Philippines
Poland
Puerto Rico
D.P.R. of Korea
Portugal
Paraguay
State of Palestine
Qatar
Romania
Russian Federation
Rwanda
Saudi Arabia
Sudan (Former)
Senegal
Singapore
Sierra Leone
El Salvador
Serbia
Sao Tome and Principe
Former USSR
Slovakia
Slovenia
Sweden
Swaziland
Seychelles
Syrian Arab Republic
Chad
Togo
Thailand
Tajikistan
Turkmenistan
Trinidad and Tobago
Tunisia
Turkey
"Taiwan, Province of China"
U.R. of Tanzania: Mainland
Uganda
Ukraine
Uruguay
United States
Uzbekistan
Venezuela (Bolivarian Republic of)
Viet Nam
Yemen
Former Yugoslavia
South Africa
Zambia
Zimbabwe
